id,brand_id,parent_id,name,drive_path,date_start,date_end,status,settled
1,2,,웹사이트 리뉴얼,202601 웹사이트 리뉴얼,2026-01-15,2026-03-15,진행중,false
2,2,1,메인 페이지,202601 메인 페이지,2026-01-15,2026-02-15,진행중,false
3,2,1,소개 페이지,202601 소개 페이지,2026-02-01,2026-02-28,진행중,false
4,2,,모바일 앱 v2,202602 모바일 앱,2026-02-01,2026-04-30,진행중,false
5,2,4,UI 디자인,202602 UI 디자인,2026-02-01,2026-03-15,진행중,false
6,2,4,아이콘 세트,202602 아이콘,2026-02-15,2026-03-01,완료,false
7,3,,브랜드 아이덴티티,202601 브랜드 아이덴티티,2026-01-20,2026-03-20,진행중,false
8,3,7,로고 디자인,202601 로고,2026-01-20,2026-02-20,완료,false
9,3,7,브랜드 가이드라인,202601 가이드라인,2026-02-15,2026-03-20,진행중,false
10,4,,SNS 캠페인,202602 SNS,2026-02-10,2026-03-31,진행중,false
11,4,10,인스타그램 피드,202602 인스타그램,2026-02-10,2026-03-10,진행중,false
12,4,10,유튜브 썸네일,202602 유튜브,2026-02-20,2026-03-20,진행전,false
13,5,,신제품 런칭,202603 신제품 런칭,2026-03-01,2026-04-15,진행전,false
14,5,13,랜딩 페이지,202603 랜딩,2026-03-01,2026-03-31,진행전,false
15,5,13,이메일 템플릿,202603 이메일,2026-03-15,2026-04-15,진행전,false
16,1,,사내 포털,202601 포털,2026-01-10,2026-02-28,완료,true
17,1,,연간 보고서,202602 연간 보고서,2026-02-01,2026-03-15,보류,false
18,2,,패키지 디자인,202603 패키지,2026-03-10,2026-04-20,진행전,false
19,3,,사무실 사이니지,202603 사이니지,2026-03-05,2026-04-10,진행중,false
20,1,,에이스 전체,,,,진행중,false
