project_id,date,time,content,content_internal,note
1,2026-01-15,,킥오프 미팅,,
2,2026-01-16,,와이어프레임 초안,,
2,2026-01-20,,디자인 시안 1차,,
3,2026-02-03,,콘텐츠 정리,,
4,2026-02-01,,프로젝트 셋업,,
5,2026-02-05,,UI 컨셉 제안,,
6,2026-02-15,,아이콘 스케치,,
7,2026-01-22,,레퍼런스 조사,,
8,2026-01-25,,로고 스케치 3안,,
9,2026-02-18,,가이드라인 초안,,
10,2026-02-12,,캠페인 기획안,,
11,2026-02-14,,인스타 피드 시안,,
12,2026-02-22,,썸네일 레퍼런스,,
1,2026-02-01,,중간 리뷰,,
2,2026-02-10,,QA 테스트,,
5,2026-02-20,,프로토타입 공유,,
10,2026-03-01,,중간 보고,,
16,2026-01-15,,포털 개발 시작,,
16,2026-02-20,,내부 테스트,,
17,2026-02-15,,보고서 구조 논의,,
19,2026-03-10,,사이니지 시안,,
2,2026-01-22,10:00,,촬영 준비,스튜디오 예약 완료
5,2026-02-10,14:00,,UI 리뷰 미팅,
11,2026-02-20,15:00,,콘텐츠 촬영,출고 확인
